p_threshold,n_genes,correlation,p_value,score,n_available
0.2,25,0.6231926695577454,0.0008753014756594892,3.1159633477887274,268
0.2,27,0.6092047512912031,0.0007443259138599219,3.165520744346176,268
0.2,29,0.6001024381733132,0.0005790703205736469,3.2316505307265357,268
0.2,31,0.6157409335000732,0.00022668050565973792,3.4283004262773975,268
0.2,33,0.6183030845263147,0.0001257129217907189,3.5518808036091127,268
0.2,35,0.6224039893069407,6.546688780325282e-05,3.6821916580593417,268
0.2,37,0.6099621833877249,6.125141333028874e-05,3.710255114009744,268
0.2,39,0.5772428641833142,0.000119478292429732,3.6048805314145556,268
0.2,41,0.5760410286281288,8.114755693084908e-05,3.6884622721645206,268
0.2,43,0.5988336700057282,2.213918130812234e-05,3.9268149773447134,268
0.2,45,0.6064299382149645,1.0083356771501326e-05,4.068055696318974,268
0.2,47,0.6212587749845886,3.16495112981506e-06,4.259135578762612,268
0.2,49,0.6175080342373974,2.285951905265742e-06,4.322556239661782,268
0.2,51,0.6017569481800069,3.0028187831087877e-06,4.297404176805888,268
0.2,53,0.5564208016042798,1.5167431364009901e-05,4.05080458036071,268
0.2,55,0.5272854017207497,3.530957250488166e-05,3.9104531985090527,268
0.2,57,0.5250189435360715,2.7548862726415943e-05,3.963806099078102,268
0.2,59,0.5119155164615676,3.410252225401329e-05,3.9320976925367326,268
