UMAP1,UMAP2,Tissue
-0.17384612590143256,5.959770540473236,Brain
0.11007436366783185,5.57823105914766,Brain
-0.4623697453741151,6.128041069238208,Brain
-0.7291870508006422,7.027485955529761,Brain
-0.2918586064501052,6.627421087635614,Brain
1.318529294152874,5.772770421413434,Brain
-0.10780578849607947,5.921075274310217,Brain
-0.7704154987208232,7.109967081970592,Brain
-0.38524473932838843,5.90285990157525,Brain
0.5523530917651742,6.43872882052827,Brain
-0.2204862844155886,5.715083305448765,Brain
-0.07648743749273379,5.779331148842335,Brain
-0.23449684608960686,5.760948821831147,Brain
1.1684997705329079,5.749104374838667,Brain
-0.1446706934414319,5.627389681898923,Brain
0.6267534316040124,6.455822553611959,Brain
-0.2874805515279144,6.4211555375380716,Brain
-0.5493911354188536,6.600092507580833,Brain
0.31170842633571416,6.329940835052863,Brain
-0.3381365220212973,6.379153047541954,Brain
0.17925119160394676,5.849494208191598,Brain
-0.4509151333026784,5.807615652917107,Brain
-0.4230160497926265,5.81663817661281,Brain
0.4838229835706991,6.088725406663409,Brain
0.5302646826232706,6.4596872534455345,Brain
-0.1998640284966453,5.994645410718096,Brain
0.0942682157749517,5.795306865133688,Brain
0.3195234090339758,5.749129547444188,Brain
1.3064308526156152,5.689399478235987,Brain
4.27483769853243e-4,5.736045143458344,Brain
0.12351912171714918,5.984685877394575,Brain
0.5092681027169959,5.558273422110501,Brain
1.2917046047124097,5.769504292702322,Brain
-0.03756664127619258,5.627996011949996,Brain
-0.17080132302046636,5.578914461997368,Brain
-0.13500024054544868,5.453879747562299,Brain
0.00963982654727591,5.201862959536803,Brain
0.8070224096767658,5.755830597805698,Brain
1.3157898731477293,5.688028463407734,Brain
-0.6990787128738742,6.9962777607597,Brain
-0.09515158654324107,6.083836570135076,Brain
-0.04275091046471946,6.389954553351123,Brain
-0.4885451969283894,6.308547150149623,Brain
0.11720124901307116,5.468803695284917,Brain
-0.13464231411310257,6.106071213976888,Brain
0.01943520166621404,6.038263756607604,Brain
0.7908500902726057,5.923906450153103,Brain
1.2282946196852182,5.666020628584397,Brain
-0.1825198686056062,5.6538593878478824,Brain
-0.46121908792696553,5.801835782678837,Brain
-0.1118931585225642,6.356131965541121,Brain
-0.698598170180784,6.922402701660947,Brain
-0.2719745259791386,5.6967720989430255,Brain
0.8595722057371136,5.558819546646874,Brain
0.5229283813880046,5.430730184215975,Brain
-0.7191960118795266,6.99682890649882,Brain
-0.019846628344998063,5.957095273215624,Brain
-0.495151619267737,6.586347353499753,Brain
0.6556498784182492,5.304344527021185,Brain
0.083921135213187,5.320862207276478,Brain
-0.4898029101669428,6.1563685409007,Brain
0.16753455640656734,5.420564904447234,Brain
-0.559478437250325,6.458550597650344,Brain
0.48799673237992014,5.279361443407779,Brain
1.0416117977729185,5.421508481502112,Brain
-0.34101778662628046,6.431922265412372,Brain
0.07772711350421702,5.664941038530697,Brain
0.08582159172846326,5.78875127074232,Brain
0.0676305043311265,5.589316056785142,Brain
-0.16078358083848832,6.108535026395909,Brain
-0.13750385950416577,5.209419186107237,Brain
-0.3436721917633059,5.872440607384683,Brain
0.3925532359892432,5.148374809527506,Brain
1.1116842325370455,5.496838206022571,Brain
0.4863157012914021,5.557524927976913,Brain
-0.38051500391549853,6.4193966720124545,Brain
0.6081383421717188,5.4368545808703965,Brain
0.39691384362962134,5.5023313857509715,Brain
0.5646388729050646,5.858645611252008,Brain
