Symbol,A1,I1,A3,A4,I7,A6,A7,I4,A8,I6,A10
IL10RB-AS1,11,0,5,4,4,5,7,0,12,0,0
IL11,0,0,0,0,0,0,2,1,0,0,0
IL11RA,401,314,379,440,369,207,587,515,510,512,360
IL12A,0,1,3,1,2,1,5,10,3,1,2
IL12A-AS1,0,0,0,0,0,0,0,0,0,0,0
IL12B,0,0,0,0,0,0,0,0,0,0,0
IL12RB1,0,2,0,0,2,0,7,6,4,7,6
IL12RB2,17,9,106,86,40,10,86,22,43,5,67
IL13,0,0,0,0,0,0,0,0,0,0,0
IL13RA1,702,977,578,988,940,526,1156,1158,805,1156,761
IL13RA2,0,0,0,1,0,0,0,4,0,1,0
IL15,77,44,41,51,48,20,104,57,80,54,47
IL15RA,59,74,57,115,75,28,46,186,93,93,105
IL16,56,120,76,83,47,23,129,237,107,228,98
IL17A,0,0,0,0,0,0,0,0,0,0,0
IL17B,0,0,4,1,0,2,0,3,4,6,4
IL17C,0,0,0,0,0,0,0,0,0,0,0
IL17D,1165,1469,1575,4947,887,1529,996,1347,2987,1693,2463
IL17F,0,0,0,0,0,0,0,0,0,0,0
IL17RA,38,112,55,115,94,32,87,157,70,213,74
IL17RB,6,12,16,8,1,1,8,24,15,14,14
IL17RC,582,203,413,426,174,160,394,326,305,382,466
IL17RD,16,139,26,39,34,13,63,256,28,134,48
IL17RE,9,23,13,29,11,15,16,45,28,68,34
IL17REL,0,0,0,0,0,0,0,0,0,0,0
IL18,47,10,105,55,22,30,78,12,33,42,37
IL18BP,23,37,34,45,27,21,50,63,32,63,55
IL18R1,8,22,1,5,11,0,6,14,5,16,4
IL18RAP,1,2,0,2,0,1,0,7,1,5,2
IL19,0,0,0,0,0,0,0,0,0,1,0
IL1A,0,0,0,0,0,0,0,0,0,0,0
IL1B,1,7,3,1,17,1,0,1,1,5,0
IL1F10,0,0,0,0,0,0,0,0,0,0,0
IL1R1,121,247,185,378,342,117,198,473,236,354,181
IL1R2,2,11,7,6,8,0,6,6,2,29,6
IL1RAP,18,16,16,15,34,10,17,41,19,18,11
IL1RAPL1,0,2,1,0,4,0,0,5,5,0,3
IL1RAPL2,0,0,4,0,0,0,0,1,0,2,1
IL1RL1,1,1,0,1,6,0,3,5,1,4,3
IL1RL2,3,0,7,0,1,0,1,2,0,0,2
IL1RN,0,5,1,0,1,1,4,1,2,1,3
IL2,0,0,0,0,0,0,0,0,0,0,0
IL20,0,0,0,0,0,0,0,0,0,2,0
IL20RA,30,17,29,64,24,21,46,17,11,24,21
IL20RB,13,16,11,12,12,1,19,6,10,5,18
IL21,0,0,0,0,0,0,0,0,0,0,0
IL21-AS1,0,0,0,1,0,0,0,0,0,0,0
IL21R,2,8,0,3,2,0,1,0,3,7,2
IL21R-AS1,0,0,0,0,0,0,0,0,3,0,1
IL22,0,0,0,0,0,0,0,0,0,0,0
IL22RA1,0,0,0,3,0,0,3,0,2,0,1
IL22RA2,0,0,0,0,0,0,0,0,0,0,0
IL23A,0,0,0,0,0,0,0,0,0,0,0
IL23R,0,0,0,0,0,0,0,0,0,0,0
IL24,0,0,0,0,0,0,0,0,0,0,0
IL25,0,0,0,0,0,0,0,0,0,0,0
IL26,0,0,0,0,0,0,0,0,0,0,0
IL27,0,0,0,2,0,0,0,1,0,0,0
IL27RA,51,50,74,83,63,66,58,75,60,79,47
IL2RA,0,3,3,2,0,1,2,4,0,5,6
IL2RB,15,38,8,22,2,7,16,36,7,31,16
IL2RG,9,22,18,18,5,9,18,21,7,22,20
IL3,0,0,0,0,0,0,0,0,0,0,0
IL31,0,0,0,0,0,0,0,0,0,0,0
IL31RA,4,2,17,20,9,2,2,14,5,11,0
IL32,5703,29015,902,1865,49739,369,7906,29843,1900,17688,8510
IL33,49,297,93,137,56,88,173,498,63,278,117
IL34,39,98,45,39,17,47,76,98,60,196,27
IL36A,0,0,0,0,0,0,0,0,0,0,0
IL36B,0,0,0,0,0,0,0,0,0,0,0
IL36G,0,0,0,0,0,0,0,0,0,0,0
IL36RN,0,0,0,0,0,0,0,0,0,0,0
IL37,0,0,0,0,0,0,0,0,0,0,0
IL3RA,38,71,49,64,49,45,65,98,67,106,65
IL4,0,0,0,0,0,0,0,0,0,0,0
IL4I1,0,1,2,4,1,0,2,3,0,9,1
IL4R,50,73,74,141,122,97,77,159,53,163,146
IL5,0,0,0,0,0,0,0,0,0,0,0
IL5RA,0,9,0,0,0,0,2,2,0,0,2
IL6,0,1,3,1,53,0,0,3,4,0,2
IL6R,627,207,482,593,200,136,492,664,554,300,373
IL6ST,1037,1506,1147,2590,1842,729,1855,2231,1264,1586,1339
IL7,1,0,0,1,0,0,2,2,1,0,1
IL7R,11,10,2,14,9,6,3,9,2,18,40
IL9,0,0,0,0,0,0,0,0,0,0,0
IL9R,2,0,0,1,0,2,0,0,0,0,0
ILDR1,0,3,2,0,0,0,0,0,0,0,2
ILDR2,7,19,3,3,1,1,19,34,1,23,5
ILF2,943,958,822,1117,1118,515,1224,1001,946,954,789
ILF3,1914,2324,2100,2579,2158,1197,2802,2778,2300,2568,2269
ILF3-AS1,498,520,429,723,477,322,718,906,487,740,647
ILK,1128,1071,1178,1287,1325,779,1381,1976,1188,1409,1283
ILKAP,363,279,335,354,277,173,373,396,340,308,298
ILVBL,205,234,252,205,328,136,242,334,199,343,191
IMMP1L,83,50,88,119,66,53,96,45,125,87,75
IMMP2L,164,141,146,242,138,120,217,204,196,117,189
IMMT,4125,2463,2978,4294,2929,2344,3361,2310,3621,3882,2721
IMP3,642,613,632,675,390,349,825,743,764,719,690
IMP4,613,465,496,669,471,296,609,610,554,521,421
IMPA1,116,141,124,273,193,48,209,132,144,137,118
IMPA2,3896,1986,1988,2502,1849,1644,4875,1963,4330,1766,3407
IMPACT,229,316,209,338,310,123,375,312,279,341,203
IMPAD1,1076,803,815,1469,1110,430,1764,1138,1031,935,880
IMPDH1,46,105,81,111,92,42,104,152,57,153,118
IMPDH2,1552,1985,1966,1924,1597,1256,2569,2739,1931,1914,1647
IMPG1,0,0,0,0,0,0,0,0,0,0,0
IMPG2,0,2,2,15,12,0,7,2,1,1,1
INA,0,0,0,0,0,0,0,0,1,0,0
INADL,786,544,1083,902,397,539,1189,842,1220,588,1275
INAFM1,149,177,192,142,197,103,180,331,216,222,214
