Unnamed: 0,BioSample,BioProject,LibraryLayout,Platform,Model,Subspecies,Breed,Predicted breed label,Breed group,Sex,Age,Clean reads,Mapped reads,Mapping rate,Expressed gene count,Expressed gene ratio,Tissue class,Main categories,Sub categories,Note,Used in molQTL analysis,BioSample.WGS
5750,SAMN10456682,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"37,047,006","35,004,218",0.9449,16228,0.5086,Ileum,Small intestine,Ileum,,Yes,
5751,SAMN10456683,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"17,419,307","14,733,519",0.8458,15091,0.473,Ileum,Small intestine,Ileum,,Yes,
5752,SAMN10456684,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"36,648,208","34,798,307",0.9495,15946,0.4997,Ileum,Small intestine,Ileum,,Yes,
5753,SAMN10456685,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"37,955,775","35,693,178",0.9404,16509,0.5174,Ileum,Small intestine,Ileum,,Yes,
5754,SAMN10456686,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"16,146,236","14,257,199",0.883,14966,0.469,Ileum,Small intestine,Ileum,,Yes,
5755,SAMN10456687,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"11,924,745","11,023,048",0.9244,14160,0.4438,Ileum,Small intestine,Ileum,,Yes,
5756,SAMN10456688,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"18,672,273","17,860,661",0.9565,15811,0.4955,Ileum,Small intestine,Ileum,,Yes,
5757,SAMN10456689,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"23,239,963","21,974,171",0.9455,16346,0.5123,Ileum,Small intestine,Ileum,,Yes,
5758,SAMN10456690,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"25,681,036","24,427,740",0.9512,15469,0.4848,Ileum,Small intestine,Ileum,,Yes,
5759,SAMN10456691,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"20,343,881","19,191,982",0.9434,15802,0.4952,Ileum,Small intestine,Ileum,,Yes,
5760,SAMN10456698,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"16,291,992","15,468,547",0.9495,16110,0.5049,Ileum,Small intestine,Ileum,,Yes,
5761,SAMN10456699,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"17,703,298","16,690,461",0.9428,16297,0.5107,Ileum,Small intestine,Ileum,,Yes,
5762,SAMN10456700,PRJNA506247,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"20,513,220","19,436,787",0.9475,17079,0.5353,Ileum,Small intestine,Ileum,,Yes,
5763,SAMN10458212,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Male,1 month,"31,154,454","28,789,603",0.9241,14028,0.4396,Muscle,Muscle,Muscle,,Yes,
5764,SAMN10458213,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Male,1 month,"14,404,784","13,438,559",0.9329,14160,0.4438,Muscle,Muscle,Muscle,,Yes,
5765,SAMN10458214,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Male,1 month,"19,254,574","17,678,931",0.9182,15120,0.4739,Muscle,Muscle,Muscle,,Yes,
5766,SAMN10458215,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Female,1 month,"22,711,066","21,421,362",0.9432,16016,0.5019,Muscle,Muscle,Muscle,,Yes,
5767,SAMN10458216,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Female,1 month,"21,941,478","20,727,962",0.9447,14837,0.465,Muscle,Muscle,Muscle,,Yes,
5768,SAMN10458217,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Male,1 month,"27,259,816","25,017,270",0.9177,14732,0.4617,Muscle,Muscle,Muscle,,Yes,
5769,SAMN10458218,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Male,1 month,"16,456,310","15,287,224",0.929,13708,0.4296,Muscle,Muscle,Muscle,,Yes,
5770,SAMN10458219,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Female,1 month,"19,367,491","18,088,826",0.934,14337,0.4493,Muscle,Muscle,Muscle,,Yes,
5771,SAMN10458220,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Female,1 month,"32,282,523","30,310,668",0.9389,16365,0.5129,Muscle,Muscle,Muscle,,Yes,
5772,SAMN10458221,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Male,1 month,"24,271,656","22,717,732",0.936,15714,0.4925,Muscle,Muscle,Muscle,,Yes,
5773,SAMN10458222,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Female,1 month,"24,367,657","22,912,664",0.9403,15931,0.4993,Muscle,Muscle,Muscle,,Yes,
5774,SAMN10458223,PRJNA506343,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Landrace,Landrace,European pigs,Male,1 month,"23,944,364","22,509,474",0.9401,15702,0.4921,Muscle,Muscle,Muscle,,Yes,
5775,SAMN10462191,PRJNA506525,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Pietrain,Pietrain,European pigs,Male,158 days,"78,929,748","67,335,467",0.8531,26601,0.8337,Testis,Testis,Testis,,Yes,
5776,SAMN10462192,PRJNA506525,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Pietrain,Unknown,Unknown,Male,182 days,"62,873,975","35,234,330",0.5604,18173,0.5695,Unknown,Unknown,Unknown,,No,
5777,SAMN10462193,PRJNA506525,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Pietrain,Pietrain,European pigs,Male,161 days,"75,923,579","66,550,946",0.8766,26698,0.8367,Testis,Testis,Testis,,Yes,
5778,SAMN10462194,PRJNA506525,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Pietrain,Pietrain,European pigs,Male,159 days,"72,183,799","62,539,621",0.8664,26737,0.8379,Testis,Testis,Testis,,Yes,
5779,SAMN10462195,PRJNA506525,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Pietrain x Large white,Pietrain x Yorkshire,Cross,Male,152 days,"71,453,618","64,611,847",0.9042,27285,0.8551,Testis,Testis,Testis,,Yes,
5780,SAMN10462196,PRJNA506525,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Pietrain x Large white,Pietrain x Yorkshire,Cross,Male,152 days,"54,831,329","47,605,422",0.8682,26501,0.8305,Testis,Testis,Testis,,Yes,
5781,SAMN10462197,PRJNA506525,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Pietrain x Large white,Pietrain x Yorkshire,Cross,Male,154 days,"70,236,577","62,870,618",0.8951,27089,0.849,Testis,Testis,Testis,,Yes,
5782,SAMN10475341,PRJNA506884,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Male,42 days,"65,057,346","56,665,065",0.871,21335,0.6686,Liver,Liver,Liver,,Yes,
5783,SAMN10475342,PRJNA506884,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Male,56 days,"62,914,211","55,047,082",0.875,22611,0.7086,Liver,Liver,Liver,,Yes,
5784,SAMN10475343,PRJNA506884,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Male,42 days,"64,510,823","56,492,129",0.8757,22151,0.6942,Liver,Liver,Liver,,Yes,
5785,SAMN10475344,PRJNA506884,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Male,56 days,"57,246,489","50,378,272",0.88,20952,0.6566,Liver,Liver,Liver,,Yes,
5786,SAMN10485171,PRJNA507129,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Erhualian,Erhualian,Asian pigs,Female,Unknown,"31,640,524","30,163,503",0.9533,21104,0.6614,Uterus,Uterus,Uterus,,Yes,
5787,SAMN10485172,PRJNA507129,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Erhualian,Erhualian,Asian pigs,Female,Unknown,"32,349,727","30,879,066",0.9545,20905,0.6552,Uterus,Uterus,Uterus,,Yes,
5788,SAMN10485173,PRJNA507129,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Erhualian,Erhualian,Asian pigs,Female,Unknown,"37,786,927","35,947,494",0.9513,21355,0.6693,Uterus,Uterus,Uterus,,Yes,
5789,SAMN10485174,PRJNA507129,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Erhualian,Erhualian,Asian pigs,Female,Unknown,"35,277,090","33,392,350",0.9466,21240,0.6657,Uterus,Uterus,Uterus,,Yes,
5790,SAMN10485175,PRJNA507129,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Erhualian,Erhualian,Asian pigs,Female,Unknown,"38,134,426","36,203,244",0.9494,21243,0.6658,Uterus,Uterus,Uterus,,Yes,
5791,SAMN10485176,PRJNA507129,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Erhualian,Erhualian,Asian pigs,Female,Unknown,"33,468,934","31,878,541",0.9525,21068,0.6603,Uterus,Uterus,Uterus,,Yes,
5792,SAMN10517137,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5793,SAMN10517138,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5794,SAMN10517139,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5795,SAMN10517140,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5796,SAMN10517141,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5797,SAMN10517142,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5798,SAMN10517143,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5799,SAMN10517144,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5800,SAMN10517145,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5801,SAMN10517146,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5802,SAMN10517147,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5803,SAMN10517148,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5804,SAMN10517149,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5805,SAMN10517150,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5806,SAMN10517151,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5807,SAMN10517152,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5808,SAMN10517153,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5809,SAMN10517154,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5810,SAMN10517155,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5811,SAMN10517156,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5812,SAMN10517157,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5813,SAMN10517158,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5814,SAMN10517159,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5815,SAMN10517160,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5816,SAMN10517161,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5817,SAMN10517162,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5818,SAMN10517163,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5819,SAMN10517164,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5820,SAMN10517165,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5821,SAMN10517166,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5822,SAMN10517167,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5823,SAMN10517168,PRJNA507985,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
5824,SAMN10524919,PRJNA508562,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Large white,Landrace x Yorkshire,Cross,Female,30 days,"52,689,825","48,219,818",0.9152,26370,0.8264,Pineal gland,Brain,Brain,,Yes,
5825,SAMN10524920,PRJNA508562,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Large white,Landrace x Yorkshire,Cross,Female,30 days,"49,483,117","45,842,249",0.9264,26566,0.8326,Pineal gland,Brain,Brain,,Yes,
5826,SAMN10524921,PRJNA508562,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Large white,Landrace x Yorkshire,Cross,Female,30 days,"57,141,975","52,813,398",0.9242,27851,0.8729,Pineal gland,Brain,Brain,,Yes,
5827,SAMN10524922,PRJNA508562,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Large white,Landrace x Yorkshire,Cross,Female,180 days,"52,363,570","45,433,811",0.8677,23060,0.7227,Pineal gland,Brain,Brain,,Yes,
5828,SAMN10524923,PRJNA508562,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Large white,Landrace x Yorkshire,Cross,Female,180 days,"54,496,178","50,575,305",0.9281,27645,0.8664,Pineal gland,Brain,Brain,,Yes,
5829,SAMN10524924,PRJNA508562,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Large white,Landrace x Yorkshire,Cross,Female,180 days,"56,801,342","52,721,461",0.9282,28352,0.8886,Pineal gland,Brain,Brain,,Yes,
5830,SAMN10524925,PRJNA508562,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Large white,Landrace x Yorkshire,Cross,Female,300 days,"56,326,652","46,881,461",0.8323,23294,0.73,Pineal gland,Brain,Brain,,Yes,
5831,SAMN10524926,PRJNA508562,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Large white,Landrace x Yorkshire,Cross,Female,300 days,"41,304,275","38,629,207",0.9352,26415,0.8278,Pineal gland,Brain,Brain,,Yes,
5832,SAMN10524927,PRJNA508562,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Large white,Landrace x Yorkshire,Cross,Female,300 days,"52,003,723","43,480,577",0.8361,22679,0.7108,Pineal gland,Brain,Brain,,Yes,
5833,SAMN10576355,PRJNA509268,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Unknown,Tibetan,Asian pigs,Unknown,180 days,"31,130,328","27,262,939",0.8758,15185,0.4759,Liver,Liver,Liver,,Yes,
5834,SAMN10576360,PRJNA509268,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Unknown,Duroc x Luchuan,Cross,Unknown,8 years,"36,886,619","33,083,146",0.8969,17988,0.5637,Liver,Liver,Liver,,Yes,
5835,SAMN10576361,PRJNA509268,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Unknown,Duroc x Luchuan,Cross,Unknown,8 years,"37,981,583","33,075,431",0.8708,18865,0.5912,Liver,Liver,Liver,,Yes,
5836,SAMN10576362,PRJNA509268,PAIRED,ILLUMINA,Illumina HiSeq 4000,Sus scrofa,Unknown,Tibetan,Asian pigs,Unknown,180 days,"30,743,706","27,129,207",0.8824,13634,0.4273,Liver,Liver,Liver,,Yes,
5837,SAMN10587641,PRJNA509755,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Landrace,Unknown,Unknown,Male,7 days,"182,934,623","176,004,415",0.9621,20236,0.6342,Subcutaneous preadipocyte,Other,Other,Outlier,No,
5838,SAMN10593691,PRJNA510073,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,60 days,"30,281,940","28,859,402",0.953,20168,0.6321,Mixture of multiple tissues,Other,Other,Outlier,No,
5839,SAMN10593692,PRJNA510073,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,60 days,"21,881,016","20,940,783",0.957,20587,0.6452,Ovary,Ovary,Ovary,,Yes,
5840,SAMN10593693,PRJNA510073,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,60 days,"35,458,243","34,038,191",0.96,19212,0.6021,Adipose,Adipose,Adipose,,Yes,
5841,SAMN10593694,PRJNA510073,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,60 days,"22,915,682","21,868,690",0.9543,16140,0.5058,Muscle,Muscle,Muscle,,No,
5842,SAMN10593695,PRJNA510073,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,60 days,"22,975,126","21,635,688",0.9417,16895,0.5295,Muscle,Muscle,Muscle,,Yes,
5843,SAMN10593696,PRJNA510073,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,60 days,"22,327,548","21,267,204",0.9525,18178,0.5697,Kidney,Kidney,Kidney,,Yes,
5844,SAMN10593697,PRJNA510073,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,60 days,"31,113,554","29,485,416",0.9477,20016,0.6273,Lung,Lung,Lung,,Yes,
5845,SAMN10593698,PRJNA510073,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,60 days,"23,277,056","21,739,683",0.934,18645,0.5843,Spleen,Spleen,Spleen,,Yes,
5846,SAMN10593699,PRJNA510073,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,60 days,"27,395,487","26,130,391",0.9538,16294,0.5107,Liver,Liver,Liver,,Yes,
5847,SAMN10593700,PRJNA510073,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,60 days,"19,707,456","18,537,864",0.9407,16334,0.5119,Heart,Heart,Heart,,Yes,
5848,SAMN10601921,PRJNA510331,PAIRED,ILLUMINA,HiSeq X Ten,Sus scrofa,Unknown,Qinyu,Asian pigs,Unknown,2 years,"41,399,870","29,494,784",0.7124,19000,0.5955,Blood,Blood,Blood,,Yes,
5849,SAMN10601922,PRJNA510331,PAIRED,ILLUMINA,HiSeq X Ten,Sus scrofa,Unknown,Qinyu,Asian pigs,Unknown,2 years,"39,132,312","27,553,757",0.7041,18688,0.5857,Blood,Blood,Blood,,No,
5850,SAMN10601923,PRJNA510331,PAIRED,ILLUMINA,HiSeq X Ten,Sus scrofa,Unknown,Tibetan,Asian pigs,Unknown,180 days,"40,891,281","35,427,833",0.8664,19883,0.6231,Blood,Blood,Blood,,Yes,
5851,SAMN10601925,PRJNA510331,PAIRED,ILLUMINA,HiSeq X Ten,Sus scrofa,Unknown,Tibetan,Asian pigs,Unknown,180 days,"39,871,920","34,042,630",0.8538,19649,0.6158,Blood,Blood,Blood,,No,
5852,SAMN10601927,PRJNA510331,PAIRED,ILLUMINA,HiSeq X Ten,Sus scrofa,Unknown,Tibetan,Asian pigs,Unknown,28 days,"41,738,894","26,013,300",0.6232,17643,0.5529,Blood,Blood,Blood,,Yes,
5853,SAMN10601928,PRJNA510331,PAIRED,ILLUMINA,HiSeq X Ten,Sus scrofa,Unknown,Tibetan,Asian pigs,Unknown,28 days,"40,267,091","25,611,365",0.636,17684,0.5542,Blood,Blood,Blood,,No,
5854,SAMN10601929,PRJNA510331,PAIRED,ILLUMINA,HiSeq X Ten,Sus scrofa,Unknown,Unknown,Unknown,Unknown,7 days,"38,601,494","22,977,368",0.5952,12759,0.3999,Unknown,Unknown,Unknown,,No,
5855,SAMN10601931,PRJNA510331,PAIRED,ILLUMINA,HiSeq X Ten,Sus scrofa,Unknown,Unknown,Unknown,Unknown,7 days,"39,536,475","23,045,388",0.5829,12581,0.3943,Unknown,Unknown,Unknown,,No,
5856,SAMN10601933,PRJNA510331,PAIRED,ILLUMINA,HiSeq X Ten,Sus scrofa,Unknown,Qinyu,Asian pigs,Unknown,0 day,"41,487,503","26,832,358",0.6468,16147,0.506,Blood,Blood,Blood,,Yes,
5857,SAMN10601934,PRJNA510331,PAIRED,ILLUMINA,HiSeq X Ten,Sus scrofa,Unknown,Qinyu,Asian pigs,Unknown,0 day,"38,916,242","25,095,334",0.6449,15800,0.4952,Blood,Blood,Blood,,No,
5858,SAMN10614782,PRJNA510770,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"18,437,454","17,519,649",0.9502,15137,0.4744,Oocyte,Oocyte,Oocyte,,Yes,
5859,SAMN10614783,PRJNA510770,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"24,837,694","23,504,148",0.9463,14159,0.4437,Parthenogenetic-activated oocyte,Oocyte,Oocyte,,Yes,
5860,SAMN10614784,PRJNA510770,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"23,258,998","21,708,307",0.9333,14358,0.45,Parthenogenetic-activated oocyte,Oocyte,Oocyte,,Yes,
5861,SAMN10614785,PRJNA510770,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"23,397,532","21,968,533",0.9389,14416,0.4518,Parthenogenetic-activated oocyte,Oocyte,Oocyte,,Yes,
