tissue,rank,ensembl,gene,importance,function,annotation_source,Infant_TPM,Early_childhood_TPM,Pre-pubertal_TPM,Post-pubertal_TPM,Adult_TPM,peak_stage,fold_change_peak_vs_trough
Lung,16,ENSSSCG00000012664,LOC100513516,0.0,Putative odorant or sperm cell receptor.,uniprot_ensembl,0.014248277669175068,0.04221672482504579,0.016836609803114588,0.020097040097953562,,Early childhood,0.027968447155870726
Lung,17,ENSSSCG00000012671,OR13H1,0.0,Putative odorant or sperm cell receptor.,uniprot_ensembl,0.028800850669443438,0.07354317559640501,0.03502159933574347,0.03490368673746665,,Early childhood,0.04474232492696158
Lung,18,ENSSSCG00000031136,LOC100514087,0.0,Putative odorant or sperm cell receptor.,uniprot_ensembl,0.05773343579313202,0.05846220603956258,0.03660648633894585,0.028809764233668274,,Early childhood,0.029652441805894304
Lung,19,ENSSSCG00000048571,ENSSSCG00000048571,0.0,ENSSSCG00000048571,none,0.01213464723934835,0.06208708196397809,0.03729275125005425,0.019427844233585092,,Early childhood,0.049952434724629735
Lung,20,ENSSSCG00000035001,ENSSSCG00000035001,0.0,ENSSSCG00000035001,none,0.0,0.0,0.015646003572545263,0.0,,Pre-pubertal,0.015646003572545263
Blood,1,ENSSSCG00000004970,RPLP1,51.0610865727067,Plays an important role in the elongation step of protein synthesis.,uniprot_ensembl,14.230270575582555,11.246721162258195,11.093019556602766,13.1183349686247,12.561132339821869,Infant,3.1372510189797893
Blood,2,ENSSSCG00000033734,ENSSSCG00000033734,45.37470006942749,ENSSSCG00000033734,none,0.0,8.93028098089517,5.271530735203252,0.08570895986726394,0.0,Early childhood,8.93028098089517
Blood,3,ENSSSCG00000042133,ENSSSCG00000042133,22.86240005493164,ENSSSCG00000042133,none,1.3621012074633543,1.2183648661606017,0.9804519062771251,0.2549088707429533,3.305155146033861,Adult,3.050246275290908
Blood,4,ENSSSCG00000002885,USF2,19.06588927656412,Transcription factor that binds to a symmetrical DNA sequence (E-boxes) (5'-CACGTG-3') that is found in a variety of viral and cellular promoters.,uniprot_ensembl,8.39689347966605,6.626499083803264,5.293625264633538,7.6045186512340806,7.3726148145972425,Infant,3.1032682150325117
Blood,5,ENSSSCG00000033744,BOLA2B,18.429800033569336,Acts as a cytosolic iron-sulfur (Fe-S) cluster assembly factor that facilitates [2Fe-2S] cluster insertion into a subset of cytosolic proteins. Acts together with the monothiol glutaredoxin GLRX3.,uniprot_ensembl,9.52038080973798,7.104092845731313,6.16767185417487,7.922152761289292,7.9260874724692885,Infant,3.3527089555631093
Blood,6,ENSSSCG00000030575,TMEM158,17.449343599379063,Transmembrane protein 158.,uniprot_ensembl,0.3180240783225574,0.7094207189045814,0.5442566307868721,2.2639101028063027,1.747164801384478,Post-pubertal,1.9458860244837453
Blood,7,ENSSSCG00000024562,CCR6,15.050689697265625,C-C motif chemokine receptor 6.,uniprot_ensembl,2.2707735070479353,3.0617858920019465,2.56694355996794,4.605034934572785,4.547105895653603,Post-pubertal,2.33426142752485
Blood,8,ENSSSCG00000029295,BPIFB4,14.693387120962143,BPI fold containing family B member 4.,uniprot_ensembl,0.0,0.13899304537878662,0.26699314635885973,0.8578628535460683,0.0,Post-pubertal,0.8578628535460683
Blood,9,ENSSSCG00000045920,ENSSSCG00000045920,13.53870078921318,ENSSSCG00000045920,none,4.002661299932646,0.8023959637810096,0.44623079149975403,1.5163025405842216,3.2563369517446024,Infant,3.5564305084328915
Blood,10,ENSSSCG00000000528,PKP2,11.006000891327858,Plakophilin-2.,uniprot_ensembl,0.43484329825529583,0.4203350009623646,0.20508396556401146,1.082092353723406,1.5964667270039092,Adult,1.3913827614398977
Blood,11,ENSSSCG00000009611,XPO7,8.907019853591919,Exportin 7.,uniprot_ensembl,7.930057638546553,5.343060623380495,3.364526507629402,3.222292674713768,4.531893502982763,Infant,4.707764963832785
Blood,12,ENSSSCG00000051365,ENSSSCG00000051365,8.762709856033325,ENSSSCG00000051365,none,1.6122647311516562,0.941957818832075,0.6502564345761311,0.18219122501559698,3.9410214937643184,Adult,3.7588302687487216
Blood,13,ENSSSCG00000045536,ENSSSCG00000045536,8.002570152282715,ENSSSCG00000045536,none,2.8733187002597957,1.651189441726856,1.5570645997585295,0.2608567212810601,4.365244739591292,Adult,4.104388018310232
Blood,14,ENSSSCG00000008853,TLL1,7.407572835683823,Metalloendopeptidase.,uniprot_ensembl,0.0,0.07726747972962217,0.018886266580032778,0.18523391380659174,0.26601409863370934,Adult,0.26601409863370934
Blood,15,ENSSSCG00000010700,NSMCE4A,7.066830158233643,"Component of the SMC5-SMC6 complex, that promotes sister chromatid alignment after DNA damage and facilitates double-stranded DNA breaks (DSBs) repair via homologous recombination between sister chromatids.",uniprot_ensembl,3.343447051698568,3.3362378239186996,3.5880677903205505,5.1580851978467495,4.8477658063719495,Post-pubertal,1.8218473739280499
Blood,16,ENSSSCG00000018052,NT5M,5.55760895460844,"5',3'-nucleotidase, mitochondrial.",uniprot_ensembl,1.4832131690835422,0.55877648947351,0.511323181722424,1.7173368895527137,0.8199615970113217,Post-pubertal,1.2060137078302897
Blood,17,ENSSSCG00000040647,MIR9796,5.481800079345703,microRNAs (miRNAs) are short (20-24 nt) non-coding RNAs that are involved in post-transcriptional regulation of gene expression in multicellular organisms by affecting both the stability and translation of mRNAs. miRNAs are transcribed by RNA polymerase II as part of capped and.,mygene_summary,0.014945106109519792,0.05409676877129909,0.01949444742172712,0.059798748580223375,0.022864902287468847,Post-pubertal,0.044853642470703586
Blood,18,ENSSSCG00000031003,ENSSSCG00000031003,5.242269992828369,Uncharacterized protein.,uniprot_ensembl,0.5224173822553115,2.1222550155398974,1.1087220652171264,4.809193677086954,0.9718227315358705,Post-pubertal,4.286776294831642
Blood,19,ENSSSCG00000007186,LOC100626120,5.093820095062256,Ig-like domain-containing protein.,uniprot_ensembl,0.2886302417164774,0.527475864372169,0.3942559159786599,1.6188014418077041,1.1087459039248215,Post-pubertal,1.3301712000912267
Blood,20,ENSSSCG00000034023,ENSSSCG00000034023,4.620110034942627,ENSSSCG00000034023,none,0.0,0.5456145339574859,0.3949762933586828,0.05355401986337718,0.12463781794528409,Early childhood,0.5456145339574859
