Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,UMAP1,UMAP2,BioProject,Stage,Sex,Breed,Platform,Model,tissue
SAMEA3720880,-23.88328543715598,-28.822967929538418,-22.687391519427194,-5.376920314154028,-3.298059061945687,-18.486256382106955,-13.159823908046237,-25.99585325228898,-0.9899372335797487,7.0835222714988,15.1835575,12.174537,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720881,14.760959109358987,-38.18246018904869,-23.78384125675991,-20.02294069006219,7.92757959948559,-10.474242226919474,16.357346854092558,11.243315340927142,2.0724829600892885,10.336346393557207,16.140318,12.9953375,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720882,8.784757101936739,-34.80969847802682,-23.94252510691406,-16.200598422587557,5.103157355232021,-10.969056774028534,6.699489511868429,2.6561810822092715,-1.802283323881376,1.4723061624068057,15.897897,12.75792,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720883,9.597929694124163,-33.4437781012153,-16.456162664554345,-1.9604951428643478,3.6318164162066466,-8.679178694285964,-5.1159027188697594,-4.143700769682734,-6.561065752076535,-8.863628359463787,15.390749,13.1854105,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720884,23.038099002896832,-32.1361813319315,-12.575531065202075,-17.697638242352678,11.817491070531458,-14.85734035423446,8.920540006719563,2.0448206979107164,0.14893824352909643,-7.2133885062073935,15.702955,13.544425,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720885,-32.480163200602284,-29.471958862104774,-48.6836718125278,-3.9678043202325557,1.6866738946435125,-7.94409922459254,-0.4405620449263316,5.925297473320306,-8.087349311733291,7.231811346344543,14.821353,12.438464,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720886,-79.05449006133331,-25.285795127722736,-79.43936859623953,2.6453524314305614,4.011249697990065,1.3615301803350062,-6.712730737544651,14.72503485277337,-18.96563192404061,-4.718302561544959,15.101771,11.664289,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720887,3.3087827077538727,-36.89357338701221,-29.159019655720062,-21.48269519615215,7.824857303195812,-7.057600828550029,13.753747201227132,12.052682470458025,-1.5189431440808754,-0.048602913332391424,15.909474,12.895517,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720888,17.92778447692436,-32.59021766721935,-11.356698360312496,-19.37992036030784,7.159425414153267,-16.825999130323513,7.534113466615867,-1.6616427526002433,1.9926059367177318,-2.2732342324109727,15.929344,13.329378,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720889,20.24326486592075,-36.982566981264775,-11.549495957610523,-25.643849162847463,11.25307465182658,-9.43586726542932,16.11469847059279,6.671587853818456,4.265549778249925,-2.693870188381084,16.417652,13.066286,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720890,37.45642414171288,-38.81613259615105,1.2904403720269912,-11.655345546214297,0.9025545426398304,-13.625497048087281,1.5883186165204024,-7.995218002891335,-0.049418201401668985,2.4712675757243656,16.50088,14.024782,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720891,8.52607219163803,-36.97376372876958,-23.43594186377401,-8.30020892407618,2.3854526232381468,-9.380651220531398,3.3440809022031224,4.135705800854668,-6.205724489639499,4.262860039689126,15.506426,12.986436,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720892,18.651359058717322,-33.97255154344351,-10.868071087119151,-27.20328906706885,11.830985328953894,-9.535141934879805,17.407680820198657,3.7312634705591017,7.130304242275072,-3.730182210062533,16.278906,13.169217,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720893,24.873759020555728,-32.82673889371325,-7.723197092629017,-18.53673488818067,10.739555534732336,-9.401936071860558,9.99953158638269,1.4435576744463217,3.832367625887922,-8.391620998801562,16.351812,13.5496435,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720894,5.047890385696916,-33.924790751601726,-25.830549200601666,-8.783782516956338,8.886978788677732,-8.842290030533192,4.986544626567517,3.7292080356426482,-1.8175241627650967,-2.4482136166014667,15.34985,12.901653,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720895,-21.506304690708966,-31.490395131697277,-34.93978136935578,-2.565406241548276,5.970783318806848,-11.549383432059349,-6.585874564837112,-3.476818075164476,-4.5625155655496235,-1.8153256838555927,14.647552,12.143772,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720896,-36.0253861916909,-32.771914052514965,-49.08520529446872,0.06565298126333326,6.264580818924855,2.6983639513977606,-6.88655373419204,7.912418110998847,-11.413526203882551,-12.425512635555457,15.336475,11.847651,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720897,24.725156101711253,-43.0109678788037,-12.818562199009182,-15.96390795474124,4.401709744070892,-5.708660849044735,10.993780607649366,7.734468174295787,-4.800778607409837,3.675104684406531,16.824804,13.41058,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720898,26.060830881914345,-34.9256787658573,-11.55466377583193,-20.384064677443828,8.620012334639153,-9.875474604719951,12.227638745907639,4.755407782893964,4.854061271810337,-2.4929347386426337,15.944727,13.634464,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
