Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,UMAP1,UMAP2,BioProject,Stage,Sex,Breed,Platform,Model,tissue
SAMEA5158173,-41.386482572296615,-17.516134365033977,16.83952782570481,16.821083048640887,-8.205879510861287,22.73575951133131,5.984436019924813,-10.073475281755321,-0.2309154190503062,-1.3624135052240316,-15.618986,-1.8271074,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158174,-47.977138439328016,-17.63878052744904,10.64766146857707,21.534226378102986,-5.200721615056395,20.38779434929294,9.801227404986726,-8.751363502958132,-3.718349861872906,1.3024584622926012,-15.673799,-1.5007901,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158175,-49.54444520423032,-18.327810752356474,14.584498962163543,21.604518114866693,-4.430151854609202,25.121742813562687,6.497017338728564,-9.749503653004183,5.7851336737869445,-0.17697805168322256,-15.812303,-1.6706163,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158176,-52.80281048306303,-15.18019842457846,11.234131452924146,25.6069784947155,-4.530737221788164,26.655743920604902,4.726940325893991,-11.325128678525257,-0.7008490190682085,1.153624101014366,-15.679103,-1.5447954,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158177,-51.61216549080906,-16.972629338589606,11.029496804713693,23.232697139844912,-0.48019453070547347,23.468695166920472,5.9983166316038945,-10.40173787279487,-3.5978089539955715,-0.4057154013063089,-15.620568,-1.4318635,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158178,-66.97710285811831,-10.750056296641274,6.571008721725522,25.532074892729696,2.569641036240703,25.055630540863387,9.774363126703,-6.733734658011907,-0.7884573243512183,1.8195892951355401,-15.225838,-0.8705274,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158179,-51.157443802714106,-12.019139281779921,13.306201727262136,20.805032320798993,1.9533339113718755,29.78243567126945,3.6031636347009925,-11.96654542990345,-4.8630948525047915,1.995241581520436,-15.25323,-1.8500155,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158180,-60.59221897565586,-7.3787385107827355,8.805082058559522,20.185323039272767,-3.551241598671351,27.879963688314437,3.0087813615488908,-7.115149460486743,-6.755946209203817,-1.0232252882982698,-14.958604,-1.197321,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158181,-62.49977979838498,-7.9248335481108665,9.742808384034978,16.437688481562414,1.0487891033042116,31.379744473481637,2.134250285343088,-9.405503872453068,-7.090830291780274,-1.7615086392200852,-14.87302,-1.1826328,PRJEB30250,Infant,Female,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA5158182,-55.905980065691914,-14.996112419662406,8.103117578449393,21.908128381558377,-2.2182484696248115,21.315271084552226,4.332485918637569,-7.659815044198874,-4.342600269248214,-5.203649632741328,-15.285795,-1.5986646,PRJEB30250,Infant,Male,Landrace,ILLUMINA,Illumina HiSeq 2500,Liver
